pop,hispanic_or_latino,white,black,native_american,asian,nhpi,other,two_or_more,sex_ratio,bachelors,income,foreign_born,age,county,state,margin
"18,450.000",0.049,0.799,0.007,0.056,0.013,0.002,0.003,0.072,1.203,0.176,"72,584",0.025,35.20,District 8, Alaska,-0.57
"19,198.000",0.056,0.801,0.016,0.049,0.016,0.002,0.003,0.057,1.128,0.268,"80,477",0.044,38.20,District 9, Alaska,-0.46
"20,859.000",0.049,0.808,0.005,0.055,0.015,0.000,0.000,0.067,1.132,0.182,"69,335",0.036,35.50,District 10, Alaska,-0.48
"21,372.000",0.059,0.778,0.014,0.053,0.009,0.009,0.005,0.074,0.980,0.275,"78,618",0.025,33.10,District 11, Alaska,-0.37
"21,067.000",0.064,0.773,0.025,0.052,0.014,0.001,0.001,0.069,1.037,0.298,"103,478",0.037,36.60,District 12, Alaska,-0.44
"20,028.000",0.140,0.658,0.053,0.019,0.025,0.018,0.006,0.082,1.119,0.362,"76,689",0.049,26.70,District 13, Alaska,-0.26
"17,704.000",0.059,0.810,0.011,0.025,0.023,0.000,0.002,0.070,1.000,0.467,"121,559",0.042,36,District 14, Alaska,-0.21
"18,595.000",0.117,0.412,0.169,0.059,0.105,0.065,0.006,0.067,1.315,0.188,"60,979",0.119,26,District 15, Alaska,-0.01
"18,936.000",0.128,0.413,0.082,0.089,0.125,0.027,0.000,0.136,1.016,0.324,"76,428",0.104,31.50,District 16, Alaska,0.09
"16,844.000",0.072,0.473,0.043,0.100,0.186,0.047,0.002,0.077,1.041,0.310,"72,153",0.139,32.90,District 17, Alaska,0.18
"17,956.000",0.055,0.518,0.083,0.072,0.108,0.033,0.027,0.103,1.049,0.346,"64,670",0.158,38.50,District 18, Alaska,0.25
"18,720.000",0.144,0.250,0.096,0.173,0.181,0.084,0.001,0.072,0.825,0.180,"59,525",0.173,28.80,District 19, Alaska,0.22
"16,255.000",0.085,0.541,0.071,0.115,0.066,0.032,0.017,0.072,1.141,0.363,"61,160",0.123,37.20,District 20, Alaska,0.33
"17,107.000",0.085,0.625,0.026,0.076,0.090,0.002,0.009,0.088,0.984,0.438,"89,945",0.108,37.80,District 21, Alaska,0.18
"18,676.000",0.098,0.570,0.020,0.099,0.087,0.027,0.006,0.095,0.931,0.386,"94,876",0.106,31.90,District 22, Alaska,-0.01
"18,103.000",0.168,0.459,0.027,0.066,0.107,0.050,0.001,0.123,1.128,0.259,"78,724",0.164,34.20,District 23, Alaska,0.02
"17,148.000",0.040,0.728,0.026,0.027,0.059,0.007,0.000,0.114,0.984,0.447,"122,761",0.062,37.60,District 24, Alaska,-0.06
"18,022.000",0.079,0.513,0.046,0.051,0.168,0.019,0.002,0.121,1.008,0.311,"100,947",0.158,33,District 25, Alaska,0.02
"17,418.000",0.058,0.640,0.009,0.076,0.112,0.001,0.003,0.100,1.020,0.441,"94,372",0.105,36.90,District 26, Alaska,-0.07
"16,765.000",0.100,0.614,0.029,0.048,0.056,0.044,0.005,0.102,1.105,0.378,"87,004",0.106,38.90,District 27, Alaska,0.05
"16,668.000",0.066,0.785,0.027,0.020,0.033,0.000,0.000,0.069,1.066,0.592,"146,573",0.045,43.30,District 28, Alaska,0.01
"17,405.000",0.038,0.809,0.011,0.071,0.014,0.005,0.002,0.049,1.237,0.235,"72,177",0.028,43.70,District 29, Alaska,-0.42
"20,305.000",0.039,0.768,0.005,0.084,0.023,0.005,0.016,0.060,0.957,0.228,"68,037",0.032,37.80,District 30, Alaska,-0.45
"19,675.000",0.049,0.834,0.002,0.049,0.012,0.001,0.002,0.052,1.088,0.312,"67,325",0.035,42.80,District 31, Alaska,-0.16
"17,760.000",0.085,0.478,0.006,0.148,0.193,0.003,0.006,0.081,1.188,0.286,"76,900",0.186,35.50,District 32, Alaska,-0.11
"19,119.000",0.074,0.621,0.010,0.105,0.073,0.005,0.000,0.114,1.028,0.375,"74,249",0.102,39.70,District 33, Alaska,0.41
"17,381.000",0.058,0.678,0.008,0.082,0.049,0.016,0.000,0.110,1.096,0.370,"97,149",0.057,38.30,District 34, Alaska,0.11
"17,748.000",0.068,0.585,0.011,0.152,0.069,0.002,0.002,0.111,1.110,0.275,"69,427",0.090,43.50,District 35, Alaska,0.02
"18,361.000",0.050,0.577,0.006,0.215,0.066,0.005,0.003,0.079,1.096,0.227,"70,407",0.076,40.40,District 36, Alaska,-0.14
"17,119.000",0.079,0.192,0.025,0.429,0.188,0.012,0.001,0.074,1.309,0.176,"68,445",0.212,37.20,District 37, Alaska,0.04
"18,457.000",0.019,0.092,0.008,0.830,0.011,0.002,0.000,0.037,1.070,0.112,"53,787",0.021,27.90,District 38, Alaska,0.28
"19,486.000",0.016,0.099,0.004,0.828,0.014,0.000,0.000,0.037,1.128,0.120,"50,613",0.019,27.20,District 39, Alaska,0.28
"17,674.000",0.032,0.207,0.012,0.649,0.034,0.011,0.001,0.053,1.392,0.151,"69,338",0.044,31.20,District 40, Alaska,0.07
"71,714.000",0.066,0.181,0.008,0.725,0.004,0.001,0.000,0.015,0.972,0.086,"33,967",0.014,35.40,Apache, Arizona,0.34
"126,442.000",0.355,0.546,0.036,0.008,0.019,0.003,0.001,0.032,1.037,0.208,"51,505",0.105,41,Cochise, Arizona,-0.20
"142,254.000",0.144,0.538,0.013,0.255,0.019,0.001,0.001,0.029,0.972,0.354,"59,000",0.043,31,Coconino, Arizona,0.24
"53,846.000",0.190,0.619,0.007,0.158,0.008,0.000,0.000,0.018,0.980,0.120,"46,907",0.033,50.40,Gila, Arizona,-0.34
"38,304.000",0.331,0.509,0.018,0.125,0.007,0.001,0.001,0.009,1.146,0.128,"55,693",0.023,33.70,Graham, Arizona,-0.45
"9,465.000",0.473,0.461,0.018,0.036,0.004,0.000,0.000,0.008,1.151,0.158,"66,368",0.026,35.70,Greenlee, Arizona,-0.34
"21,035.000",0.277,0.572,0.009,0.117,0.008,0.000,0.000,0.017,1.045,0.038,"34,956",0.101,57.40,La Paz, Arizona,-0.39
"4,412,779.000",0.311,0.546,0.054,0.015,0.041,0.002,0.003,0.027,0.976,0.328,"67,799",0.147,36.60,Maricopa, Arizona,0.02
"210,998.000",0.167,0.767,0.009,0.018,0.012,0.002,0.001,0.025,1.016,0.137,"47,686",0.062,52.30,Mohave, Arizona,-0.51
"110,271.000",0.117,0.415,0.009,0.427,0.005,0.001,0.002,0.024,1.004,0.074,"43,140",0.026,38.20,Navajo, Arizona,-0.08
"1,038,476.000",0.375,0.511,0.032,0.024,0.028,0.001,0.002,0.026,0.969,0.316,"55,023",0.125,38.70,Pima, Arizona,0.19
"447,559.000",0.305,0.562,0.043,0.042,0.016,0.003,0.003,0.026,1.079,0.152,"60,968",0.090,39.80,Pinal, Arizona,-0.17
"46,594.000",0.833,0.151,0.003,0.002,0.004,0.000,0.002,0.006,0.931,0.171,"41,424",0.332,37.20,Santa Cruz, Arizona,0.36
"232,396.000",0.147,0.801,0.007,0.012,0.010,0.001,0.001,0.022,0.953,0.154,"53,329",0.062,54.10,Yavapai, Arizona,-0.29
"211,931.000",0.641,0.306,0.017,0.009,0.011,0.000,0.001,0.015,1.062,0.162,"48,790",0.267,34.80,Yuma, Arizona,-0.06
"17,761.000",0.034,0.689,0.251,0.006,0.001,0.000,0.000,0.019,0.916,0.238,"51,000",0.009,41,Arkansas, Arkansas,-0.40
"20,000.000",0.056,0.679,0.247,0.000,0.002,0.005,0.000,0.011,0.934,0.105,"43,601",0.025,42.30,Ashley, Arkansas,-0.43
"41,673.000",0.024,0.933,0.002,0.005,0.004,0.000,0.002,0.030,0.946,0.208,"43,504",0.018,52.30,Baxter, Arkansas,-0.53
"273,510.000",0.168,0.702,0.015,0.011,0.039,0.007,0.011,0.047,0.992,0.396,"71,556",0.122,35.50,Benton, Arkansas,-0.26
"37,525.000",0.026,0.937,0.002,0.007,0.007,0.000,0.000,0.021,0.972,0.167,"46,392",0.013,42.90,Boone, Arkansas,-0.62
"10,805.000",0.154,0.554,0.275,0.000,0.001,0.000,0.003,0.014,0.894,0.071,"41,808",0.081,40.30,Bradley, Arkansas,-0.31
"5,160.000",0.042,0.721,0.220,0.000,0.000,0.003,0.002,0.013,1.000,0.090,"50,441",0.018,45.30,Calhoun, Arkansas,-0.53
"28,062.000",0.151,0.783,0.002,0.011,0.014,0.010,0.001,0.028,0.992,0.129,"48,249",0.082,44.80,Carroll, Arkansas,-0.29
"10,433.000",0.057,0.388,0.537,0.002,0.006,0.000,0.000,0.009,0.980,0.066,"33,523",0.030,43.40,Chicot, Arkansas,0.12
"22,341.000",0.048,0.682,0.242,0.002,0.006,0.001,0.000,0.019,0.901,0.258,"39,500",0.023,32.60,Clark, Arkansas,-0.14
"14,710.000",0.022,0.948,0.005,0.003,0.000,0.000,0.000,0.021,0.969,0.156,"37,933",0.007,42.70,Clay, Arkansas,-0.60
"25,063.000",0.024,0.939,0.009,0.009,0.003,0.000,0.000,0.016,0.996,0.100,"45,563",0.012,49.50,Cleburne, Arkansas,-0.66
"8,063.000",0.000,0.844,0.135,0.003,0.000,0.000,0.000,0.018,0.901,0.154,"46,349",0.002,42.50,Cleveland, Arkansas,-0.62
"23,620.000",0.028,0.593,0.362,0.001,0.008,0.000,0.001,0.008,0.927,0.280,"37,609",0.019,35.50,Columbia, Arkansas,-0.31
"20,895.000",0.040,0.814,0.099,0.004,0.005,0.000,0.000,0.037,0.972,0.165,"44,456",0.021,42.70,Conway, Arkansas,-0.35
"109,081.000",0.051,0.748,0.151,0.002,0.013,0.000,0.003,0.031,0.953,0.294,"49,730",0.039,34.40,Craighead, Arkansas,-0.35
"63,118.000",0.080,0.837,0.015,0.015,0.016,0.000,0.003,0.034,0.972,0.205,"48,980",0.043,39.20,Crawford, Arkansas,-0.57
"48,381.000",0.027,0.412,0.484,0.002,0.007,0.000,0.000,0.067,0.908,0.192,"42,384",0.018,35.30,Crittenden, Arkansas,0.07
"16,576.000",0.021,0.722,0.178,0.002,0.000,0.000,0.000,0.076,0.931,0.180,"44,379",0.021,40.70,Cross, Arkansas,-0.46
"7,114.000",0.016,0.529,0.430,0.005,0.000,0.004,0.000,0.016,0.946,0.081,"35,134",0.002,45.10,Dallas, Arkansas,-0.23
"11,538.000",0.064,0.446,0.474,0.002,0.004,0.000,0.000,0.010,0.852,0.142,"31,855",0.038,40.80,Desha, Arkansas,0.02
"18,263.000",0.036,0.662,0.284,0.000,0.000,0.000,0.000,0.018,0.949,0.241,"42,924",0.007,37.30,Drew, Arkansas,-0.28
"124,800.000",0.042,0.797,0.114,0.003,0.011,0.001,0.004,0.027,0.946,0.342,"54,191",0.036,33.30,Faulkner, Arkansas,-0.30
"17,785.000",0.032,0.913,0.010,0.015,0.007,0.002,0.000,0.020,0.988,0.110,"37,561",0.008,41.80,Franklin, Arkansas,-0.61
"12,301.000",0.006,0.945,0.003,0.005,0.001,0.002,0.000,0.037,0.961,0.092,"35,274",0.013,48.70,Fulton, Arkansas,-0.57
"99,043.000",0.058,0.815,0.083,0.009,0.008,0.000,0.000,0.026,0.919,0.192,"48,150",0.043,45.10,Garland, Arkansas,-0.34
"18,229.000",0.029,0.924,0.025,0.001,0.000,0.002,0.000,0.019,0.984,0.190,"59,051",0.016,40.10,Grant, Arkansas,-0.67
"45,197.000",0.029,0.916,0.023,0.003,0.004,0.000,0.001,0.024,0.961,0.204,"50,083",0.007,37.70,Greene, Arkansas,-0.60
"21,695.000",0.129,0.543,0.300,0.004,0.001,0.003,0.000,0.020,0.859,0.194,"45,484",0.060,40.80,Hempstead, Arkansas,-0.34
"33,667.000",0.035,0.823,0.112,0.003,0.002,0.000,0.000,0.024,1.105,0.133,"46,390",0.010,40.90,Hot Spring, Arkansas,-0.49
"13,267.000",0.127,0.638,0.205,0.003,0.009,0.001,0.000,0.018,0.912,0.186,"38,038",0.075,39.60,Howard, Arkansas,-0.42
"37,585.000",0.066,0.879,0.018,0.003,0.008,0.000,0.001,0.025,0.965,0.152,"48,972",0.030,39.40,Independence, Arkansas,-0.58
"13,596.000",0.024,0.894,0.010,0.006,0.000,0.000,0.001,0.064,1.110,0.093,"42,818",0.007,48,Izard, Arkansas,-0.62
"16,908.000",0.030,0.765,0.115,0.001,0.001,0.000,0.001,0.088,0.980,0.114,"37,885",0.006,40,Jackson, Arkansas,-0.44
"68,123.000",0.022,0.383,0.558,0.003,0.010,0.005,0.001,0.019,0.976,0.140,"40,402",0.017,39.50,Jefferson, Arkansas,0.22
"26,475.000",0.140,0.789,0.015,0.002,0.023,0.001,0.003,0.028,0.965,0.202,"39,346",0.089,38.40,Johnson, Arkansas,-0.49
"6,728.000",0.029,0.584,0.355,0.003,0.007,0.000,0.004,0.016,1.004,0.085,"33,763",0.023,48,Lafayette, Arkansas,-0.34
"16,511.000",0.016,0.937,0.014,0.003,0.001,0.000,0.000,0.029,0.996,0.192,"40,587",0.009,40.40,Lawrence, Arkansas,-0.60
"8,963.000",0.027,0.409,0.555,0.002,0.001,0.000,0.000,0.006,1.315,0.125,"27,902",0.012,42.30,Lee, Arkansas,0.05
"13,278.000",0.041,0.641,0.302,0.005,0.000,0.000,0.001,0.010,1.762,0.042,"46,554",0.019,38.70,Lincoln, Arkansas,-0.44
"12,345.000",0.037,0.728,0.193,0.011,0.003,0.000,0.000,0.029,0.912,0.176,"48,966",0.004,42.80,Little River, Arkansas,-0.48
"21,619.000",0.031,0.886,0.015,0.008,0.016,0.000,0.000,0.044,0.972,0.155,"44,232",0.015,43,Logan, Arkansas,-0.60
"73,163.000",0.046,0.855,0.055,0.004,0.009,0.002,0.001,0.028,0.965,0.227,"59,278",0.022,36.70,Lonoke, Arkansas,-0.53
"16,393.000",0.058,0.883,0.001,0.005,0.007,0.006,0.002,0.038,1.033,0.090,"41,446",0.028,41,Madison, Arkansas,-0.56
"16,586.000",0.024,0.937,0.007,0.008,0.006,0.000,0.000,0.019,0.938,0.140,"38,426",0.018,52.10,Marion, Arkansas,-0.57
"43,515.000",0.034,0.679,0.250,0.009,0.003,0.001,0.005,0.019,0.969,0.165,"45,391",0.019,39.70,Miller, Arkansas,-0.46
"41,396.000",0.044,0.577,0.349,0.001,0.005,0.001,0.001,0.022,0.957,0.104,"42,986",0.017,36.80,Mississippi, Arkansas,-0.22
"6,879.000",0.011,0.539,0.423,0.007,0.002,0.000,0.000,0.018,0.919,0.218,"38,438",0.003,46,Monroe, Arkansas,-0.14
"8,964.000",0.043,0.910,0.003,0.011,0.004,0.000,0.000,0.030,0.996,0.013,"41,165",0.026,50.60,Montgomery, Arkansas,-0.60
"8,249.000",0.000,0.625,0.348,0.003,0.001,0.000,0.000,0.023,1.008,0.053,"39,946",0.000,44.60,Nevada, Arkansas,-0.31
"7,753.000",0.009,0.930,0.000,0.017,0.001,0.004,0.000,0.037,0.976,0.149,"39,542",0.002,49.10,Newton, Arkansas,-0.62
"23,597.000",0.024,0.549,0.422,0.000,0.000,0.000,0.000,0.005,0.898,0.146,"38,279",0.010,44.40,Ouachita, Arkansas,-0.13
"10,342.000",0.031,0.915,0.026,0.001,0.001,0.000,0.000,0.026,1.053,0.200,"44,926",0.006,44,Perry, Arkansas,-0.53
"18,151.000",0.020,0.341,0.635,0.000,0.000,0.000,0.000,0.005,0.887,0.206,"33,724",0.005,39.50,Phillips, Arkansas,0.19
"10,714.000",0.065,0.863,0.038,0.004,0.001,0.000,0.000,0.028,0.972,0.223,"42,983",0.037,43.70,Pike, Arkansas,-0.68
"23,747.000",0.032,0.858,0.037,0.001,0.000,0.000,0.000,0.072,0.953,0.152,"40,700",0.012,39.90,Poinsett, Arkansas,-0.60
"19,999.000",0.066,0.873,0.005,0.014,0.003,0.001,0.007,0.031,0.949,0.166,"39,084",0.041,44.40,Polk, Arkansas,-0.68
"63,926.000",0.092,0.837,0.026,0.004,0.011,0.000,0.001,0.029,0.972,0.270,"46,004",0.054,35.60,Pope, Arkansas,-0.50
"8,138.000",0.018,0.845,0.116,0.001,0.002,0.000,0.001,0.017,0.969,0.283,"42,754",0.003,46,Prairie, Arkansas,-0.61
"393,078.000",0.062,0.516,0.369,0.002,0.021,0.000,0.002,0.027,0.912,0.358,"52,930",0.053,37.40,Pulaski, Arkansas,0.23
"17,934.000",0.022,0.923,0.009,0.003,0.003,0.006,0.000,0.033,1.008,0.134,"42,844",0.036,40,Randolph, Arkansas,-0.61
